variable;text
VAR1;Bitte geben Sie Ihr Geschlecht an. Response
VAR2;Bitte geben Sie Ihr Alter in Jahren an. Open-Ended Response
VAR3;Welchen höchsten Bildungsabschluss haben Sie (bisher) erlangt? Response_1
VAR4;X13 Sonstiges (bitte angeben)
VAR5;Bitte geben Sie die Tätigkeit an, der Sie momentan nachgehen. Response_2
VAR6;Bitte geben Sie an, wo sich Ihr Wohnsitz befindet. Response_3
VAR7;Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Ich kann ziemlich viele der technischen Probleme, mit denenich konfrontiert werde, allein lösen.
VAR8;X17 Technische Geräte sind oft undurchschaubar und schwer zubeherrschen.
VAR9;X18 Es macht mir richtig Spaß, ein technisches Problem zuknacken
VAR10;X19 Weil ich mit bisherigen technischen Problemen gut zurechtgekommen bin, blicke ich auch künftigen technischenProblemen optimistisch entgegen.
VAR11;X20 Ich fühle mich technischen Geräten gegenüber so hilflos, dassich die Finger von ihnen lasse.
VAR12;X21 Auch wenn Widerstände auftreten, bearbeite ich eintechnisches Problem weiter.
VAR13;X22 Wenn ich ein technisches Problem löse, so geschieht esmeistens durch Glück.
VAR14;X23 Die meisten technischen Probleme sind so kompliziert, dass eswenig Sinn hat, sich mit ihnen auseinander zu setzen.
VAR15;Wie oft nutzen Sie soziale Netzwerke (z.B. Facebook oder Instagram)? Response_4
VAR16;Wie ist Ihre Einstellung zur Privatsphäre? Ich mache mir wenig Sorgen über meine Privatsphäre.
VAR17;X26 Ich habe kein Problem damit, Anderen Informationen über mich mitzuteilen, solange sie mir keinen Grund geben, dies nicht mehr zu tun.
VAR18;X27 Ich habe ein Problem damit, fremden Personen persönliche Informationen mitzuteilen.
VAR19;Wie ist Ihre Einstellung zum Datenschutz? Ich bin nicht sensibel, wenn es um die Handhabung meiner Daten geht.
VAR20;X29 Da ich nichts zu verbergen habe, habe ich kein Problem damit, wenn Andere persönliche Daten von mir kennen.
VAR21;X30 Ich empfinde es als wichtig, persönliche Informationen für mich zu behalten.
VAR22;Welche der folgenden Technologien nutzen Sie? (Mehrfachantwort möglich) Social Media
VAR23;X32 Online-Banking
VAR24;X33 Pay Pal
VAR25;"X34 Smart Speaker (z.B. ""Alexa"")"
VAR26;X35 Smart Home (z.B. Licht oder Heizung)
VAR27;X36 Überwachungskameras
VAR28;X37 Fitness-Tracker
VAR29;X38 Sonstige
VAR30;Welche Aspekte spielen eine Rolle, wenn Sie über die Anschaffung einer neuen Technologie nachdenken? niedrige Kosten
VAR31;X40 Interesse an der Technologie
VAR32;X41 hohe Sicherheit
VAR33;X42 einfache Bedienung
VAR34;X43 leichte Verständlichkeit der Sicherheitsinformation
VAR35;X44 hoher Verbreitungsgrad
VAR36;Bei den folgenden Aussagen geht es um Ihr Vertrauen in Alltagstechnologien (z.B. Social Media, Onlinebanking, Smarthome). Welche der folgenden Aussagen trifft auf Sie zu? Ich vertraue Technologien.
VAR37;X46 Mir ist egal wer meine Daten sehen kann und wer nicht. Ich habe nichts zu verstecken.
VAR38;X47 Ich hatte noch nie Angst um meine persönlichen Daten.
VAR39;X48 Ich habe bis jetzt nur gute Erfahrungen mit Technologien gemacht.
VAR40;X49 Ich weiß immer wer meine Daten einsehen kann.
VAR41;X50 Ich habe Angst Technologie zu verwenden, weil ich nicht weiß, was mit meinen Daten passiert.
VAR42;X51 Änderung
VAR43;Welcher Aussage im Bezug auf digitale Technologien stimmen Sie zu? Ich informiere mich über neue digitale Technologien.
VAR44;X53 Digitale Technologien machen vieles umständlicher.
VAR45;X54 Es macht mir Spaß digitale Neuerungen auszuprobieren.
VAR46;X55 Digitale Technologien machen unabhängig.
VAR47;X56 Ich liebe es, Dinge auf digitalem Weg erledigen zu können.
VAR48;X57 Digitale Technologien verursachen Stress.
VAR49;X58 Digitale Technologien erleichtern mir den Alltag.
VAR50;X59 Digitale Technologien erhöhen die Sicherheit.
VAR51;Welchen Aussagen über den elektronischen Ausweis halten Sie für korrekt? Die eID kann eine rechtsverbindliche Unterschrift ersetzen.
VAR52;X61 Mit der eID kann man beispielsweise Bafög-Nachweise online einreichen.
VAR53;X62 Die eID ermöglicht es Behörden mich zu orten.
VAR54;X63 Mit einem Lesegerät kann jeder, der im Besitz meiner eID ist, ihn online verwenden.
VAR55;X64 Alle Daten werden ausschließlich verschlüsselt übertragen.
VAR56;X65 Die eID kann unbemerkt auf der Straße ausgelesen werden.
VAR57;Welchen Personalausweis besitzen Sie? Response_5
VAR58;Haben Sie schon einmal schlechte Erfahrungen bei Behörden gesammelt? Response_6
VAR59;Wurden Sie über die eID informiert, als Sie einen neuen Personalausweis beantragt haben? Response_7
VAR60;Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen. Ich vertraue den Mitarbeiter*Innen einer Behörde, dass meine Daten vertraulich behandelt werden.
VAR61;X70 Ich vertraue darauf, dass die von Behörden verwendeten Technik (z.B. Verschlüsselungssysteme, Firewalls, Programme usw.) meine Daten auch vor externen Angriffen schützt.
VAR62;X71 Ich habe Angst, durch die eID mehr überwacht zu werden.
VAR63;X72 Ich habe Angst davor, dass meine Daten bei der eID nicht ordnungsgemäß verwaltet werden, weil ich es nicht selbst überprüfen kann.
VAR64;X73 Die Einführung der eID halte ich für sinnvoll, das macht vieles leichter.
VAR65;X74 Ich empfinde die Einführung der eID als unnötig, da ich eh lieber persönlich zu der entsprechenden Behörde gehe.
VAR66;X75 Die Einführung der eID finde ich gut, bin aber skeptisch über die Umsetzung, da es nicht transparent ist, wo meine Daten überall gespeichert werden.
VAR67;X76 Ich empfinde die Einführung der eID als unnötig, da ich eh lieber persönlich zu der entsprechenden Behörde gehe._1
VAR68;X77 Die Einführung der eID finde ich gut, bin aber skeptisch über die Umsetzung, da es nicht transparent ist, wo meine Daten überall gespeichert werden._1
VAR69;Welche Vorteile sehen Sie in der flächendeckenden Nutzung der eID? Open-Ended Response_1
VAR70;Welche Aussagen in Bezug auf die eID treffen auf Sie zu? Ich beabsichtige, in nächster Zeit die eID zu nutzen.
VAR71;X80 Die eID bietet für mich als Bürger*In Vorteile.
VAR72;X81 Ich kenne die Funktionen der eID.
VAR73;X82 Ich weiß nicht, welche Daten auf der eID gespeichert sind.
VAR74;X83 Ich weiß, wer Zugriff auf die Daten auf die eID hat.
VAR75;X84 Ich fühle mich nicht ausreichend über die möglichen Services der eID informiert.
VAR76;X85 LÖSCHEN: Ich vertraue darauf, dass meine Daten nicht weitergegeben werden.
VAR77;X86 Ich fühle mich nicht ausreichend über die möglichen Services des e-Ausweises informiert.
VAR78;Weshalb nutzen Sie (k)eine eID? Open-Ended Response_2
VAR79;Folgende Bedenken habe ich in Bezug auf die eID. Open-Ended Response_3
VAR80;Ich wünsche mir folgende weitere Funktionen der eID. Open-Ended Response_4
