variable;text
gender;Bitte geben Sie Ihr Geschlecht an. Response
age;Bitte geben Sie Ihr Alter in Jahren an. Open-Ended Response
education;Welchen höchsten Bildungsabschluss haben Sie (bisher) erlangt? Response_1
other;X13 Sonstiges (bitte angeben)
job;Bitte geben Sie die Tätigkeit an, der Sie momentan nachgehen. Response_2
residence;Bitte geben Sie an, wo sich Ihr Wohnsitz befindet. Response_3
kut1;Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Ich kann ziemlich viele der technischen Probleme, mit denenich konfrontiert werde, allein lösen.
kut2;X17 Technische Geräte sind oft undurchschaubar und schwer zubeherrschen.
kut3;X18 Es macht mir richtig Spaß, ein technisches Problem zuknacken
kut4;X19 Weil ich mit bisherigen technischen Problemen gut zurechtgekommen bin, blicke ich auch künftigen technischenProblemen optimistisch entgegen.
kut5;X20 Ich fühle mich technischen Geräten gegenüber so hilflos, dassich die Finger von ihnen lasse.
kut6;X21 Auch wenn Widerstände auftreten, bearbeite ich eintechnisches Problem weiter.
kut7;X22 Wenn ich ein technisches Problem löse, so geschieht esmeistens durch Glück.
kut8;X23 Die meisten technischen Probleme sind so kompliziert, dass eswenig Sinn hat, sich mit ihnen auseinander zu setzen.
socialmedia;Wie oft nutzen Sie soziale Netzwerke (z.B. Facebook oder Instagram)? Response_4
privacy1;Wie ist Ihre Einstellung zur Privatsphäre? Ich mache mir wenig Sorgen über meine Privatsphäre.
privacy2;X26 Ich habe kein Problem damit, Anderen Informationen über mich mitzuteilen, solange sie mir keinen Grund geben, dies nicht mehr zu tun.
privacy3;X27 Ich habe ein Problem damit, fremden Personen persönliche Informationen mitzuteilen.
data_protec1;Wie ist Ihre Einstellung zum Datenschutz? Ich bin nicht sensibel, wenn es um die Handhabung meiner Daten geht.
data_protec2;X29 Da ich nichts zu verbergen habe, habe ich kein Problem damit, wenn Andere persönliche Daten von mir kennen.
data_protec3;X30 Ich empfinde es als wichtig, persönliche Informationen für mich zu behalten.
use_tech1;Welche der folgenden Technologien nutzen Sie? (Mehrfachantwort möglich) Social Media
use_tech2;X32 Online-Banking
use_tech3;X33 Pay Pal
use_tech4;"X34 Smart Speaker (z.B. ""Alexa"")"
use_tech5;X35 Smart Home (z.B. Licht oder Heizung)
use_tech6;X36 Überwachungskameras
use_tech7;X37 Fitness-Tracker
use_tech8;X38 Sonstige
buy_tech1;Welche Aspekte spielen eine Rolle, wenn Sie über die Anschaffung einer neuen Technologie nachdenken? niedrige Kosten
buy_tech2;X40 Interesse an der Technologie
buy_tech3;X41 hohe Sicherheit
buy_tech4;X42 einfache Bedienung
buy_tech5;X43 leichte Verständlichkeit der Sicherheitsinformation
buy_tech6;X44 hoher Verbreitungsgrad
